类别,器件,数量,源码/用途,采购与电气边界
控制器,ESP32-S3 DevKitC-1 或兼容开发板,1,ESP-IDF 目标 esp32-s3-devkitc-1,精确模组 Flash/USB/稳压待实物确认
气体传感器,MQ-2 模块,1,GPIO1 ADC 烟雾原始采样,常见模块可能需 5V 加热且 AO 电平需确认
气体传感器,MQ-5 模块,1,GPIO2 ADC 可燃气体原始采样,原始 ADC 不等于 ppm；预热和标定待实测
火焰传感器,数字火焰传感器模块,1,GPIO4 低电平触发,型号/电压/抗环境光能力待确认
距离传感器,HC-SR04 或兼容模块,1,GPIO5/6 雷达距离,5V ECHO 必须分压或电平转换
显示,SSD1306 I2C OLED,1,GPIO11/12 地址 0x3C,地址/电压/分辨率和上拉待确认
执行器,低电平有效蜂鸣器,1,GPIO7 提示,型号/驱动电流与额定电压待确认
执行器,LED 加限流电阻,1,GPIO15 告警指示,不得省略限流或直接接未知负载
执行器,低压直流水泵与合适 H 桥驱动,1,GPIO16/17 控制,电源/续流/管路/水源必须独立受控
执行器,低压直流风扇与 L9110 或合适驱动,1,GPIO18/8 控制,电机电流和驱动热设计待确认
执行器,SG90 或兼容舵机（窗户）,1,GPIO9 PWM,须独立供电且共地
执行器,SG90 或兼容舵机（雷达）,1,GPIO10 PWM,须独立供电且共地
电源,隔离且足够裕量的低压电源与连接线,按需,各模块供电,不要用 GPIO 或未知 USB 口直接驱动执行器
